scenario,modo,n_drops,drops,rationale,n_amostras,n_features,accuracy,accuracy_ic,sensitivity,sensitivity_ic,specificity,specificity_ic,f1,f1_ic,kappa,kappa_ic,auc,auc_ic,delta_accuracy,delta_sensitivity,delta_specificity,delta_f1,delta_kappa,delta_auc
sem_status_race_bio,mesmas_linhas_baseline,3,Poverty Status; Race; Number of Bio. Parents,Bloco socioeconomico/demografico correlacionado e sensivel.,287,14,82.95566502463053,3.706223170537982,39.0,11.898745976565834,90.94999999999999,3.649372064362455,40.79653679653679,9.573273214485454,0.31194732516358936,0.11241600301780695,0.70625,0.08162396991742617,-0.665024630541879,3.0,-1.2333333333333343,1.558441558441558,0.007776922834030864,-0.05466666666666664
sem_sleep,mesmas_linhas_baseline,1,Number of Sleep Disturbances,VIF moderado; testar se multicolinearidade pesa mais que sinal clinico.,287,16,84.34729064039409,3.28176579586266,36.0,15.526888979686865,93.01666666666668,3.692569040861655,38.692640692640694,13.71433917361508,0.30761867996293424,0.13487039245874483,0.7479166666666667,0.10005973776021496,0.7266009852216797,0.0,0.833333333333357,-0.5454545454545396,0.0034482776333757403,-0.013000000000000012
sem_odd,mesmas_linhas_baseline,1,ODD,Alternativa inversa do par CD/ODD para validar qual carrega mais sinal.,287,16,83.97783251231527,4.690567645702961,36.5,18.855079575438104,92.6,4.591952722997715,38.34126984126985,18.433993658724383,0.30242183680770496,0.19371743410023468,0.750375,0.1007891471826744,0.3571428571428612,0.5,0.4166666666666714,-0.8968253968253848,-0.00174856552185354,-0.010541666666666671
sem_features_sensiveis,mesmas_linhas_baseline,4,Race; Sex; Poverty Status; Number of Bio. Parents,Teste de fairness: remove variaveis sensiveis ou proxy demografico.,287,13,81.19458128078817,4.664683571886227,39.5,15.123403719611053,88.85,3.4834762931756162,38.75613275613275,13.113032750628095,0.2779287363533531,0.15582037926900416,0.7079583333333332,0.10296129552849748,-2.426108374384242,3.5,-3.3333333333333286,-0.4819624819624835,-0.02624166597620542,-0.05295833333333344
sem_4_cd_tantrums_sleep,mesmas_linhas_baseline,7,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums; Number of Sleep Disturbances,Limpeza mais agressiva incluindo feature com VIF moderado.,287,10,81.90886699507388,4.857121100067218,32.0,11.946436532346645,90.95000000000002,4.538274177045339,35.77777777777778,13.57604571873036,0.25639151618163847,0.1615023644769567,0.7067916666666666,0.10430452819766116,-1.7118226600985338,-4.0,-1.2333333333333059,-3.460317460317455,-0.04777888614792003,-0.05412500000000009
sem_4_cd_tantrums,mesmas_linhas_baseline,6,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums,Limpeza intermediaria: baixa relevancia + dois blocos correlacionados.,287,11,82.57389162561574,3.875261332957007,32.0,14.621618283570513,91.75,2.798500751258747,34.91269841269841,14.182493881517516,0.2527293937854305,0.15806286729157193,0.718375,0.08245175944184144,-1.046798029556669,-4.0,-0.4333333333333229,-4.3253968253968225,-0.051441008544127975,-0.0425416666666667
sem_poverty_status,mesmas_linhas_baseline,1,Poverty Status,Menor correlacao com GAD e redundancia socioeconomica.,287,16,82.90640394088669,2.2548076275439026,34.0,18.684681747605122,91.8,2.3395885460559493,34.21428571428571,15.729683889895671,0.25165427511558974,0.16025611372774856,0.7274999999999999,0.10538464764073932,-0.7142857142857224,-2.0,-0.38333333333332575,-5.0238095238095255,-0.052516127213968755,-0.03341666666666676
sem_4_mais_tantrums,mesmas_linhas_baseline,5,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; Frequency Temper Tantrums,Primeira limpeza + remocao de tantrums por redundancia com irritabilidade.,287,12,82.54926108374384,3.3846327959512146,31.5,16.264649558859553,91.76666666666665,2.7287483310055816,33.63492063492064,16.066213657754645,0.2415582554544245,0.17217263633248212,0.7064166666666667,0.10576045834777091,-1.0714285714285694,-4.5,-0.4166666666666714,-5.603174603174594,-0.062612146875134,-0.05449999999999999
sem_age,mesmas_linhas_baseline,1,Age,Maior VIF; testar custo de remover feature importante.,287,16,80.8128078817734,4.6064087236569735,29.5,16.299571015184885,90.13333333333333,4.887722879685918,30.335497835497836,16.058339798823475,0.2003912437206367,0.17518319774267532,0.717125,0.09880261074201713,-2.807881773399018,-6.5,-2.049999999999997,-8.902597402597397,-0.10377915860892178,-0.04379166666666667
sem_tantrums,mesmas_linhas_baseline,1,Frequency Temper Tantrums,Redundante com Frequency Irritable Mood e ODD.,287,16,82.24137931034481,2.6920193447367677,27.0,17.61967286264876,92.21666666666667,2.8763197389495327,27.944444444444446,15.945374795652095,0.19108772759564213,0.15819956689197417,0.7268749999999999,0.11883763972365767,-1.3793103448276014,-9.0,0.03333333333334565,-11.293650793650787,-0.11308267473391637,-0.03404166666666675
sem_10_agressivo,mesmas_linhas_baseline,10,Poverty Status; Number of Siblings; Family History - Psychiatric Diagnosis; Number of Bio. Parents; CD; Frequency Temper Tantrums; Number of Sleep Disturbances; Race; Sex; ADHD,Teste extremo para medir quanto sinal se perde com uma limpeza grande.,287,7,79.10098522167488,6.029136245848188,27.5,13.827149737034143,88.41666666666667,6.716347715951268,27.81168831168831,11.554995831052397,0.16884291879840094,0.1287576262723034,0.6774166666666667,0.10613106914379394,-4.519704433497537,-8.5,-3.7666666666666515,-11.426406926406923,-0.13532748353115756,-0.08350000000000002
